danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,explicit,popularity,track_name,track_artist,track_id
10.7,3.15E+01,2,-11.529,1,0.0361,0.873,0.0151,10.4,0.0391,57.572,448.307,448.307,FALSE,1,He Shall Feed His Flock,New Jersey Mass Choir,0D4CLJHk7LASSikBum43r7
78.3,3.86E+00,5,-15.717,0,0.357,0.907,0,16.8,0.156,58.444,39.893,39.893,FALSE,0,Wind The Bobbin Up,Kidzone,1eqSLaDRL2uHWqoL8gDsYH
30.5,8.09E+01,7,-8.244,1,0.393,0.00572,0,3.57,0.724,58.564,193.699,193.699,TRUE,0,HOMEGIRLS,Myles T. Jordan,5iT9IRCIDd0ZQauA4SNnki
52.5,2.10E+01,7,-11.16,1,0.0372,0.68,0,10,0.343,58.77,181.547,181.547,FALSE,0,Becoming A Bore,Glen D. Giles,3cVIZEF9nfdDVluuHP2tCR
6.48,1.07E+01,0,-26.194,1,0.0431,0.93,0.987,9.27,0.0278,59.005,600,600,FALSE,0,"The subtle sound, light and scent that soothe and heal",Tmang,2vtxGog179Xy9kgjWFpH1S
70.8,3.57E+01,2,-12.145,1,0.102,0.651,0,8.51,0.599,59.013,73.36,73.36,FALSE,0,Without You - Snippet,Latif,4d3j1KFqifQnsWXwZXD3Uq
44.3,7.51E+01,5,-4.796,0,0.0794,0.0167,0.00081,35.8,0.137,59.853,145.959,145.959,TRUE,0,Tre Jones,Saint James,74zlexWrKPDMylsDBHMba8
51.8,2.20E+01,2,-8.875,0,0.029,0.00057,0.653,54.3,0.663,60.014,188.875,188.875,FALSE,1,Wonderful Boy,Terra Trona,7Ke5OKIIatpaDJKJtXpGyc
59.4,3.04E-01,1,-28.371,1,0.0551,0.996,0.955,8.15,0.11,60.019,211.984,211.984,FALSE,0,Two Worlds,Piano Mood,2u2c2XyVO489sG4Ck3tnjX
43.7,1.23E+01,0,-21.154,1,0.0355,0.442,0.936,8.89,0.0857,60.124,286.573,286.573,FALSE,0,Stardust - Instrumental,Peter Nero,163MGoKP7Q5DAUnvCmEEhk
66,5.40E+01,1,-8.924,1,0.21,0.292,5.88E-06,9.02,0.858,60.555,63.893,63.893,FALSE,0,Can't Let Love - Snippet,Latif,20yejZxqJwYGwpHVMEGAPx
25.5,3.42E+01,0,-8.627,1,0.0347,0.97,0.000822,10.2,0.326,60.66,138.996,138.996,FALSE,2,When Next in Love I Fall,The Magnetic Fields,2eOU5pT67sKkYnmwSm6jT6
85.2,1.91E+01,10,-16.883,0,0.0571,0.359,0.849,11.1,0.105,60.968,293.395,293.395,FALSE,5,Clouds,62 Flat,7jPLlKBGamGK64naND5NMm
63.4,9.94E+01,9,-17.642,1,0.0643,0.768,0.944,84.8,0.0231,61.456,114.547,114.547,FALSE,0,Delicate Rains,Sonido Del Bosque y Naturaleza,0zEsV3vxrKrDbA6j4tXegV
16.6,2.53E+00,11,-26.223,1,0.042,0.988,0.966,9.65,0.0359,61.856,193.065,193.065,FALSE,0,Infinite Calm,Zen Path,1PXDfqsF6e0ODtq74KaTmQ
10.8,3.84E+00,4,-22.345,0,0.0391,0.985,0.318,7.04,0.0496,62.188,127.908,127.908,FALSE,4,Remembering Marina,Jarryd Elias,4LjdesmTnekcRB35wGwQLa
35.1,3.32E+00,0,-22.386,1,0.0615,0.967,1.72E-06,9.67,0.363,62.302,218.76,218.76,FALSE,1,God Ain't No Stained Glass Window,Kathy Mattea,4OQ90FyKExKy8TxkxbItdY
21,9.19E+00,2,-14.046,1,0.0396,0.994,0.894,24.6,0.116,62.322,184.013,184.013,FALSE,1,Indefinite,Robert W Hildreth,79i7f6RzZNnEFxuZJEq5rK
50.8,1.57E+00,2,-25.797,1,0.0793,0.993,0.941,8.36,0.964,62.362,154.645,154.645,FALSE,2,Alone,Slava Chekhov,7weVt6IJKY9Mktt3xu1t2y
54.3,2.87E+01,5,-10.76,1,0.0453,0.86,0.877,27.7,0.556,63.109,219.573,219.573,FALSE,1,My Old Flame - Mono Mix,Max Roach,2PHkz7SrP1A75Bo1h2YVFS
38,1.15E+01,10,-21.15,0,0.0353,0.574,0.883,16.7,0.0578,63.147,360.227,360.227,FALSE,2,When I Fall In Love,Peter Nero,36aRUliPjXw3Y7DTPvNmdb
58.5,1.56E+00,4,-21.742,0,0.0448,0.993,0.945,8.94,0.225,63.264,224.427,224.427,FALSE,2,A Futile Apology,Slava Chekhov,24aQinx5MP0lo8JhCuRVWW
23.3,3.75E+01,2,-11.088,1,0.046,0.423,1.05E-06,6.51,0.194,63.558,253.56,253.56,FALSE,0,Cigarettes and Coffee,Hope Waits,2Jc8EMPm9vNOxToP2S4TYl
12.1,1.51E+01,8,-15.603,1,0.0361,0.985,0.617,8.74,0.0362,63.73,236.747,236.747,FALSE,1,Greener World,Gwilym Gold,0cQiTi6ZOmgBHrt14xwwtE
61.9,3.28E-01,3,-25.433,0,0.091,0.994,0.958,12.3,0.292,63.929,228.126,228.126,FALSE,0,Alpine Ridge,Piano Mood,5ukBF80G8eEFAtkpFuAVSH
